pg_id,title,author,year,fictionality,language,pages
20973,"Le tour du monde en quatre-vingts jours, by Jules Verne. Abbreviated edition, with English notes by A. H. Edgren.","Verne, Jules, 1828-1905.",1905,1,fre,
9512,The works of Edgar Allen Poe.,"Poe, Edgar Allan, 1809-1849",1910,1,eng,
2821,"The story of the Gadsbys : and, The courting of Dinah Shadd and other stories / by Rudyard Kipling.","Kipling, Rudyard, 1865-1936.",1890,1,eng,103.0
57666,"Famous leaders among women, by Sarah Knowles Bolton...","Bolton, Sarah Knowles, 1841-1916.",1895,0,eng,356.0
20014,Canada and the Canadians.,"Bonnycastle, Richard Henry, Sir, 1791-1847.",1969,0,eng,
39815,"My fire opal, and other tales, by Sarah Warner Brooks.","Brooks, Sarah Warner, d. 1906.",1896,0,eng,5.0
52106,"The origin and development of the moral ideas, by Edward Westermarck.","Westermarck, Edward, 1862-1939.",1971,0,eng,
74525,"The Bunnikins-Bunnies and the moon king / by Edith B. Davidson, with illustrations by Clara E. Atwood.","Davidson, Edith B.",1912,0,eng,63.0
31045,Frondes Agrestes in (13th ed.),"Ruskin, John, 1819-1900.",1895,0,eng,
47719,"Railway rates, charges, and regulations of the United Kingdom being a summary of the Railway rates and charges (order confirmation) acts, 1891 and 1892, and of the acts passed from 1854 to 1888 for the general regulation of railways ... / by Joseph Davies.","Davies, Joseph, 1865-1919.",1893,0,eng,234.0
41164,Homes & haunts of the most eminent British poets.,"Howitt, William, 1792-1879.",1875,0,eng,
8617,"The Captain of the Polestar, and other tales.","Doyle, Arthur Conan, 1859-1930.",1912,0,eng,315.0
36110,"Odd bits of travel with brush and camera, by Charles M. Taylor, jr.  Illustrated by the author.","Taylor, Charles M. b. 1849.",1900,0,eng,3.0
9790,Traffics and Discoveries / Rudyard Kipling ; edited by Hermione Lee.,"Kipling, Rudyard, 1865-1936.",1992,1,eng,343.0
7873,The Insidious Dr. Fu-Manchu ; being a somewhat detailed account of the amazing adventures of Nayland Smith in his trailing of the sinister Chinaman. By Sax-Rohmer [pseud.].,"Rohmer, Sax, 1883-1959.",1917,1,eng,3.0
22786,Rautatie / kirjoitti Juhani Aho ; kuvilla varustanut Eero Järnefelt.,"Aho, Juhani, 1861-1921.",1892,1,fin,119.0
73272,Books and bidders : the adventures of a bibliophile / by A.S.W. Rosenbach.,"Rosenbach, A. S. W. 1876-1952.",1927,0,eng,6.0
236,The jungle books / Rudyard Kipling ; with an afterword by Marcus Cunliffe.,"Kipling, Rudyard, 1865-1936.",1988,0,eng,332.0
47461,Dalle novelle di Canterbury di G. Chaucer.,"Chaucer, Geoffrey, -1400.",1897,0,ita,
22444,The poems of Emily Dickinson / edited by Martha Dickinson Bianchi and Alfred Leete Hampson.,"Dickinson, Emily, 1830-1886.",1930,0,eng,401.0
41869,Old tavern signs.,"Endell, Fritz.",1916,0,eng,
23441,"Lady Betty across the water, by C.N. and A.M. Williamson.","Williamson, Charles Norris, 1859-1920.",1910,0,eng,312.0
4114,"Christopher Colombus and the New world of his discovery; a narrative by Filson Young, with a note on the navigation of Columbus's first voyage by the Earl of Dunraven. v.1, 2d. ed. v.2, 3d. ed.","Young, Filson i.e. Alexander Bell Filson, 1876-",1906,0,eng,
28732,"Les fables de La Fontaine,","La Fontaine, Jean de, 1621-1695.",1940,0,fre,
6539,The hunchback of Notre Dame : original screen version / by Perely [sic] Poore Sheehan from Victor Hugo's classic.,"Sheehan, Perley Poore, 1875-1943.",1923,0,eng,144.0
9430,"Poems of the past and the present, by Thomas Hardy.","Hardy, Thomas, 1840-1928.",1902,0,eng,260.0
73921,"Domestic service / an enquiry by the Women's industrial council, report by C.V. Butler, with a supplementary chapter by Lady Willoughby de Broke.","Butler, C. Violet.",1916,0,eng,148.0
27380,Histoire du consulat et de l'Empire.,"Thiers, Adolphe, 1797-1877",1849,0,fre,
10868,Clerambault; Geschichte eines freien Gewissens im Kriege. [Berechtige übertragung aus dem Französischen von Stefan Zweig],"Rolland, Romain, 1866-1944.",1922,0,ger,333.0
21181,Villette.,"Brontë, Charlotte, 1816-1855",1899,0,und,
70636,Dropped stitches in Tennessee history.,"Allison, John. [from old catalog]",1897,0,eng,4.0
23708,"The little Burgess animal book for children, by Thornton W. Burgess, with illustrations by Louis Agassiz Fuertes .","Burgess, Thornton W. 1874-1965.",1941,0,eng,64.0
56578,Basic writings of Thomas Jefferson / edited by Philip S. Foner.,"Jefferson, Thomas, 1743-1826.",1950,0,eng,
45698,Al di la; romanzo.,"Oriani, Alfredo, 1852-1909.",1921,1,ita,
13150,"Through the Grand Canyon from Wyoming to Mexico, by E. L. Kolb; with a foreword by Owen Wister; with 72 plates from photographs by the author and his brother.","Kolb, E. L. b. 1876.",1920,0,eng,344.0
1859,The works of Max Beerbolm. With a bibliography by John Lane.,"Beerbohm, Max, Sir, 1872-1956.",1923,0,eng,
31911,Synthetische Theorie der Cliffordschen Parallelen und der linearen Linienörter des elliptischen Raumes : Habilitationsschrift zur Erlangung der venia Legendi für Mathematik an der grossherzoglich badischen technischen Hochschule Friedericiana zu Karlsruhe I.B. / von Wolfgang Vogt.,"Vogt, Wolfgang, 1883-1916.",1909,0,ger,58.0
23080,The devil's dictionary / Ambrose Bierce.,"Bierce, Ambrose, 1842-1914?",1935,0,eng,376.0
9289,"Tales of men and ghosts, by Edith Wharton.","Wharton, Edith, 1862-1937.",1910,1,eng,4.0
26466,Idle thoughts of an idle fellow / Jerome K. Jerome.,"Jerome, Jerome K. 1859-1927",1986,0,eng,
1722,"Dr. Martin Luther's Smaller catechism : with explanatory Bible texts, collected from the best German authorities / to which is added the Order of salvation, and an analysis of the catechism, with other matters relating to confirmation. Translated from the German, some of which have never before appeared in the English language. To which is added the Augsburg Confession, carefully translated from the German.","Luther, Martin, 1483-1546.",1863,0,eng,
28795,Otto of the silver hand,"Pyle, Howard, 1853-1911",1968,0,eng,170.0
12844,"Den engelske lods, et digt.","Wergeland, Henrik Arnold, 1808-1845.",1915,0,nor,136.0
1327,Elizabeth and her German garden.,"Elizabeth, 1866-1941.",1899,1,eng,175.0
26539,"The Rover boys at Big Horn Ranch : or, The cowboys' double round-up / by Arthur M. Winfield (Edward Stratemeyer).","Stratemeyer, Edward, 1862-1930.",1922,1,eng,312.0
20275,History of England from the accession of James II / by Thomas Babbington Macaulay.,"Macaulay, Thomas Babington Macaulay, Baron, 1800-1859.",1884,0,eng,
21929,A master of craft; with twelve illustrations by Will Owen.,"Jacobs, W. W. 1863-1943.",1900,0,eng,339.0
28916,Some turns of thought in modern philosophy; five essays.,"Santayana, George, 1863-1952.",1967,0,eng,121.0
46384,The story of Verona / by Alethea Wiel ; illustrated by Nelly Erichsen and Helen M. James.,"Wiel, Alethea, b. 1851.",1907,0,eng,317.0
9705,"The complete mystery of Edwin Drood / by Charles Dickens ; the history, continuations, and solutions (1870-1912) by J. Cuming Walters ; with a port., ill. by Sir Luke Fildes, F. G. Kitton.","Dickens, Charles, 1812-1870.",1974,1,eng,267.0
26468,The Middle temple murder / by J.S. Fletcher.,"Fletcher, J. S. 1863-1935.",1919,1,eng,319.0
